Name,TEAMTEAM,WW,LL,ERAERA,Games,GSGS,CGCG,SHOSHO,SVSV,SVOSVO,IPIP,HH,RR,ERER,HRHR,HBHB,BBBB,SOSO,WHIPWHIP,AVGAVG
11JoeJ KellyKellyP11‌‌‌,BOS,4,2,4.39,73,0,0,0,2,7,65.2,57,34,32,4,5,32,68,1.36,.234
11SeunghwanS OhOhP11‌‌‌,COL,6,3,2.63,73,0,0,0,3,9,68.1,52,21,20,8,4,17,79,1.01,.209
11SergioS RomoRomoP11‌‌‌,TB,3,4,4.14,73,5,0,0,25,33,67.1,65,31,31,11,2,20,75,1.26,.253
11CraigC StammenStammenP11‌‌‌,SD,8,3,2.73,73,0,0,0,0,5,79.0,65,25,24,3,3,17,88,1.04,.221
21ZachZ DukeDukeP21‌‌‌,SEA,5,5,4.15,72,0,0,0,0,3,52.0,57,28,24,1,6,21,51,1.50,.271
21JaredJ HughesHughesP21‌‌‌,CIN,4,3,1.94,72,0,0,0,7,11,78.2,57,17,17,4,2,23,59,1.02,.212
21DanD JenningsJenningsP21‌‌‌,MIL,4,5,3.22,72,1,0,0,1,3,64.1,66,27,23,6,1,23,45,1.38,.275
21TaylorT RogersRogersP21‌‌‌,MIN,1,2,2.63,72,0,0,0,2,4,68.1,49,20,20,3,2,16,75,0.95,.206
21TonyT WatsonWatsonP21‌‌‌,SF,4,6,2.59,72,0,0,0,0,4,66.0,54,19,19,4,1,14,72,1.03,.224
1PeterP MoylanMoylanP1‌‌‌,KC,0,0,3.49,79,0,0,0,0,1,59.1,40,26,23,4,5,25,46,1.10,.189
1BryanB ShawShawP1‌‌‌,CLE,4,6,3.52,79,0,0,0,3,6,76.2,71,36,30,5,0,22,73,1.21,.247
3DanD JenningsJenningsP3‌‌‌,TB,3,1,3.45,77,0,0,0,0,2,62.2,53,27,24,8,1,31,51,1.34,.227
3AddisonA ReedReedP3‌‌‌,BOS,2,3,2.84,77,0,0,0,19,21,76.0,65,24,24,11,1,15,76,1.05,.226
5CoreyC KnebelKnebelP5‌‌‌,MIL,1,4,1.78,76,0,0,0,39,45,76.0,48,15,15,6,2,40,126,1.16,.180
5JuanJ NicasioNicasioP5‌‌‌,STL,5,5,2.61,76,0,0,0,6,10,72.1,58,22,21,5,2,20,72,1.08,.217
7JerryJ BlevinsBlevinsP7‌‌‌,NYM,6,0,2.94,75,0,0,0,1,8,49.0,43,16,16,4,4,24,69,1.37,.229
7MattM BowmanBowmanP7‌‌‌,STL,3,6,3.99,75,0,0,0,2,5,58.2,52,29,26,4,5,18,46,1.19,.239
9HectorH NerisNerisP9‌‌‌,PHI,4,5,3.01,74,0,0,0,26,29,74.2,68,26,25,9,6,26,86,1.26,.239
10JacobJ BarnesBarnesP10‌‌‌,MIL,3,4,4.00,73,0,0,0,2,7,72.0,57,35,32,8,3,33,80,1.25,.215
10BrettB CecilCecilP10‌‌‌,STL,2,4,3.88,73,0,0,0,1,7,67.1,67,31,29,7,0,16,66,1.23,.262
10CarlC EdwardsEdwardsP10‌‌‌,CHC,5,4,2.98,73,0,0,0,0,4,66.1,29,22,22,6,4,38,94,1.01,.134
10RyanR TeperaTeperaP10‌‌‌,TOR,7,1,3.59,73,0,0,0,2,4,77.2,57,35,31,7,8,31,81,1.13,.205
10FelipeF VázquezVazquezP10‌‌‌,PIT,5,3,1.67,73,0,0,0,21,23,75.1,47,19,14,4,4,20,88,0.89,.171
15DannyD CoulombeCoulombeP15‌‌‌,OAK,2,2,3.48,72,0,0,0,0,1,51.2,46,22,20,4,4,22,39,1.32,.240
15BradB HandHandP15‌‌‌,SD,3,4,2.16,72,0,0,0,21,26,79.1,54,20,19,9,7,20,104,0.93,.191
15BrandonB KintzlerKintzlerP15‌‌‌,WSH,4,3,3.03,72,0,0,0,29,35,71.1,66,25,24,5,3,16,39,1.15,.248
15BlakeB TreinenTreinenP15‌‌‌,OAK,3,6,3.93,72,0,0,0,16,21,75.2,80,35,33,6,5,25,74,1.39,.274
15BlakeB WoodWoodP15‌‌‌,LAA,3,4,5.45,72,0,0,0,0,1,74.1,84,49,45,8,1,33,84,1.57,.286
20RyanR BuchterBuchterP20‌‌‌,KC,4,3,2.89,71,0,0,0,1,3,65.1,44,25,21,10,4,26,65,1.07,.187
20AndrewA ChafinChafinP20‌‌‌,ARI,1,0,3.51,71,0,0,0,0,0,51.1,48,21,20,5,2,21,61,1.34,.246
20ShaneS GreeneGreeneP20‌‌‌,DET,4,3,2.66,71,0,0,0,9,13,67.2,50,21,20,6,4,34,73,1.24,.205
20DanielD HudsonHudsonP20‌‌‌,PIT,2,7,4.38,71,0,0,0,0,2,61.2,57,34,30,7,5,33,66,1.46,.248
20PatP NeshekNeshekP20‌‌‌,COL,5,3,1.59,71,0,0,0,1,5,62.1,48,13,11,3,0,6,69,0.87,.212
20BlakeB ParkerParkerP20‌‌‌,LAA,3,3,2.54,71,0,0,0,8,11,67.1,40,20,19,7,1,16,86,0.83,.172
1BradB HandHandP1‌‌‌,SD,4,4,2.92,82,0,0,0,1,7,89.1,63,32,29,8,1,36,111,1.11,.195
2ZachZ DukeDukeP2‌‌‌,STL,2,1,2.36,81,0,0,0,2,5,61.0,48,16,16,2,4,29,68,1.26,.217
3AddisonA ReedReedP3‌‌‌,NYM,4,2,1.97,80,0,0,0,1,5,77.2,60,18,17,4,0,13,91,0.94,.210
4RandallR DelgadoDelgadoP4‌‌‌,ARI,5,2,4.44,79,0,0,0,0,3,75.0,77,39,37,8,2,36,68,1.51,.265
4HectorH NerisNerisP4‌‌‌,PHI,4,4,2.58,79,0,0,0,2,6,80.1,59,26,23,9,3,30,102,1.11,.202
6JeurysJ FamiliaFamiliaP6‌‌‌,NYM,3,4,2.55,78,0,0,0,51,56,77.2,63,25,22,1,1,31,84,1.21,.220
7TravisT WoodWoodP7‌‌‌,CHC,4,0,2.95,77,0,0,0,0,1,61.0,45,24,20,8,1,24,47,1.13,.199
8SeunghwanS OhOhP8‌‌‌,STL,6,3,1.92,76,0,0,0,19,23,79.2,55,20,17,5,2,18,103,0.92,.190
9KyleK BarracloughBarracloughP9‌‌‌,MIA,6,3,2.85,75,0,0,0,0,4,72.2,45,24,23,1,2,44,113,1.22,.176
9JoeJ BlantonBlantonP9‌‌‌,LAD,7,2,2.48,75,0,0,0,0,1,80.0,55,23,22,7,2,26,80,1.01,.194
9MarkM MelanconMelanconP9‌‌‌,WSH,2,2,1.64,75,0,0,0,47,51,71.1,52,16,13,3,1,12,65,0.90,.204
9FernandoF SalasSalasP9‌‌‌,NYM,3,7,3.91,75,0,0,0,6,11,73.2,63,32,32,12,0,19,64,1.11,.232
9BryanB ShawShawP9‌‌‌,CLE,2,5,3.24,75,0,0,0,1,4,66.2,56,26,24,8,1,28,69,1.26,.230
9FelipeF VázquezVazquezP9‌‌‌,PIT,1,6,4.09,75,0,0,0,1,4,77.0,66,39,35,7,6,33,92,1.29,.231
15PedroP BáezBaezP15‌‌‌,LAD,3,2,3.04,73,0,0,0,0,2,74.0,52,27,25,11,2,22,83,1.00,.195
