Name,Team,Year,W,L,ERA,Games,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
21TaylorT RogersRogersP21‌‌‌,MIN,2018.0,1.0,2.0,2.63,72.0,0.0,0.0,0.0,2.0,4.0,68.1,49.0,20.0,20.0,3.0,2.0,16.0,75.0,0.95,0.206
21TonyT WatsonWatsonP21‌‌‌,SF,2018.0,4.0,6.0,2.59,72.0,0.0,0.0,0.0,0.0,4.0,66.0,54.0,19.0,19.0,4.0,1.0,14.0,72.0,1.03,0.224
1PeterP MoylanMoylanP1‌‌‌,KC,2017.0,0.0,0.0,3.49,79.0,0.0,0.0,0.0,0.0,1.0,59.1,40.0,26.0,23.0,4.0,5.0,25.0,46.0,1.1,0.189
1BryanB ShawShawP1‌‌‌,CLE,2017.0,4.0,6.0,3.52,79.0,0.0,0.0,0.0,3.0,6.0,76.2,71.0,36.0,30.0,5.0,0.0,22.0,73.0,1.21,0.247
3DanD JenningsJenningsP3‌‌‌,TB,2017.0,3.0,1.0,3.45,77.0,0.0,0.0,0.0,0.0,2.0,62.2,53.0,27.0,24.0,8.0,1.0,31.0,51.0,1.34,0.227
3AddisonA ReedReedP3‌‌‌,BOS,2017.0,2.0,3.0,2.84,77.0,0.0,0.0,0.0,19.0,21.0,76.0,65.0,24.0,24.0,11.0,1.0,15.0,76.0,1.05,0.226
5CoreyC KnebelKnebelP5‌‌‌,MIL,2017.0,1.0,4.0,1.78,76.0,0.0,0.0,0.0,39.0,45.0,76.0,48.0,15.0,15.0,6.0,2.0,40.0,126.0,1.16,0.18
5JuanJ NicasioNicasioP5‌‌‌,STL,2017.0,5.0,5.0,2.61,76.0,0.0,0.0,0.0,6.0,10.0,72.1,58.0,22.0,21.0,5.0,2.0,20.0,72.0,1.08,0.217
7JerryJ BlevinsBlevinsP7‌‌‌,NYM,2017.0,6.0,0.0,2.94,75.0,0.0,0.0,0.0,1.0,8.0,49.0,43.0,16.0,16.0,4.0,4.0,24.0,69.0,1.37,0.229
7MattM BowmanBowmanP7‌‌‌,STL,2017.0,3.0,6.0,3.99,75.0,0.0,0.0,0.0,2.0,5.0,58.2,52.0,29.0,26.0,4.0,5.0,18.0,46.0,1.19,0.239
9HectorH NerisNerisP9‌‌‌,PHI,2017.0,4.0,5.0,3.01,74.0,0.0,0.0,0.0,26.0,29.0,74.2,68.0,26.0,25.0,9.0,6.0,26.0,86.0,1.26,0.239
10JacobJ BarnesBarnesP10‌‌‌,MIL,2017.0,3.0,4.0,4.0,73.0,0.0,0.0,0.0,2.0,7.0,72.0,57.0,35.0,32.0,8.0,3.0,33.0,80.0,1.25,0.215
10BrettB CecilCecilP10‌‌‌,STL,2017.0,2.0,4.0,3.88,73.0,0.0,0.0,0.0,1.0,7.0,67.1,67.0,31.0,29.0,7.0,0.0,16.0,66.0,1.23,0.262
10CarlC EdwardsEdwardsP10‌‌‌,CHC,2017.0,5.0,4.0,2.98,73.0,0.0,0.0,0.0,0.0,4.0,66.1,29.0,22.0,22.0,6.0,4.0,38.0,94.0,1.01,0.134
10RyanR TeperaTeperaP10‌‌‌,TOR,2017.0,7.0,1.0,3.59,73.0,0.0,0.0,0.0,2.0,4.0,77.2,57.0,35.0,31.0,7.0,8.0,31.0,81.0,1.13,0.205
10FelipeF VázquezVazquezP10‌‌‌,PIT,2017.0,5.0,3.0,1.67,73.0,0.0,0.0,0.0,21.0,23.0,75.1,47.0,19.0,14.0,4.0,4.0,20.0,88.0,0.89,0.171
15DannyD CoulombeCoulombeP15‌‌‌,OAK,2017.0,2.0,2.0,3.48,72.0,0.0,0.0,0.0,0.0,1.0,51.2,46.0,22.0,20.0,4.0,4.0,22.0,39.0,1.32,0.24
15BradB HandHandP15‌‌‌,SD,2017.0,3.0,4.0,2.16,72.0,0.0,0.0,0.0,21.0,26.0,79.1,54.0,20.0,19.0,9.0,7.0,20.0,104.0,0.93,0.191
15BrandonB KintzlerKintzlerP15‌‌‌,WSH,2017.0,4.0,3.0,3.03,72.0,0.0,0.0,0.0,29.0,35.0,71.1,66.0,25.0,24.0,5.0,3.0,16.0,39.0,1.15,0.248
15BlakeB TreinenTreinenP15‌‌‌,OAK,2017.0,3.0,6.0,3.93,72.0,0.0,0.0,0.0,16.0,21.0,75.2,80.0,35.0,33.0,6.0,5.0,25.0,74.0,1.39,0.274
15BlakeB WoodWoodP15‌‌‌,LAA,2017.0,3.0,4.0,5.45,72.0,0.0,0.0,0.0,0.0,1.0,74.1,84.0,49.0,45.0,8.0,1.0,33.0,84.0,1.57,0.286
20RyanR BuchterBuchterP20‌‌‌,KC,2017.0,4.0,3.0,2.89,71.0,0.0,0.0,0.0,1.0,3.0,65.1,44.0,25.0,21.0,10.0,4.0,26.0,65.0,1.07,0.187
20AndrewA ChafinChafinP20‌‌‌,AZ,2017.0,1.0,0.0,3.51,71.0,0.0,0.0,0.0,0.0,0.0,51.1,48.0,21.0,20.0,5.0,2.0,21.0,61.0,1.34,0.246
20ShaneS GreeneGreeneP20‌‌‌,DET,2017.0,4.0,3.0,2.66,71.0,0.0,0.0,0.0,9.0,13.0,67.2,50.0,21.0,20.0,6.0,4.0,34.0,73.0,1.24,0.205
20DanielD HudsonHudsonP20‌‌‌,PIT,2017.0,2.0,7.0,4.38,71.0,0.0,0.0,0.0,0.0,2.0,61.2,57.0,34.0,30.0,7.0,5.0,33.0,66.0,1.46,0.248
20PatP NeshekNeshekP20‌‌‌,COL,2017.0,5.0,3.0,1.59,71.0,0.0,0.0,0.0,1.0,5.0,62.1,48.0,13.0,11.0,3.0,0.0,6.0,69.0,0.87,0.212
20BlakeB ParkerParkerP20‌‌‌,LAA,2017.0,3.0,3.0,2.54,71.0,0.0,0.0,0.0,8.0,11.0,67.1,40.0,20.0,19.0,7.0,1.0,16.0,86.0,0.83,0.172
1BradB HandHandP1‌‌‌,SD,2016.0,4.0,4.0,2.92,82.0,0.0,0.0,0.0,1.0,7.0,89.1,63.0,32.0,29.0,8.0,1.0,36.0,111.0,1.11,0.195
2ZachZ DukeDukeP2‌‌‌,STL,2016.0,2.0,1.0,2.36,81.0,0.0,0.0,0.0,2.0,5.0,61.0,48.0,16.0,16.0,2.0,4.0,29.0,68.0,1.26,0.217
